id|title|body|department|sentiment|preprocessed_body
1|Camera pulita e...|Camera pulita e ordinata; personale cordiale e disponibile.|Housekeeping|pos|camera pulita e ordinata personale cordiale e disponibile
2|Camera pulita e...|Camera pulita e ordinata; personale gentile e disponibile.|Housekeeping|pos|camera pulita e ordinata personale gentile e disponibile
3|Stanza pulita e...|Stanza pulita e ordinata; personale cordiale e disponibile.|Housekeeping|pos|stanza pulita e ordinata personale cordiale e disponibile
4|Stanza pulita e...|Stanza pulita e ordinata; personale gentile e disponibile.|Housekeeping|pos|stanza pulita e ordinata personale gentile e disponibile
5|Albergo confortevole e...|Albergo confortevole e accogliente. Pulizia impeccabile e attenzione ai dettagli.|Housekeeping|pos|albergo confortevole e accogliente pulizia impeccabile e attenzione ai dettagli
6|Albergo confortevole e...|Albergo confortevole e accogliente. Pulizia impeccabile e accortezza ai dettagli.|Housekeeping|pos|albergo confortevole e accogliente pulizia impeccabile e accortezza ai dettagli
7|Hotel confortevole e...|Hotel confortevole e accogliente. Pulizia impeccabile e attenzione ai dettagli.|Housekeeping|pos|hotel confortevole e accogliente pulizia impeccabile e attenzione ai dettagli
8|Hotel confortevole e...|Hotel confortevole e accogliente. Pulizia impeccabile e accortezza ai dettagli.|Housekeeping|pos|hotel confortevole e accogliente pulizia impeccabile e accortezza ai dettagli
9|Tutto il personale...|Tutto il personale è stato cordiale e premuroso! Ottima pulizia della stanza.|Housekeeping|pos|tutto il personale é stato cordiale e premuroso ottima pulizia della stanza
10|Tutto il personale...|Tutto il personale è stato gentile e premuroso! Ottima pulizia della stanza.|Housekeeping|pos|tutto il personale é stato gentile e premuroso ottima pulizia della stanza
11|Atmosfera confortevole e...|Atmosfera confortevole e personale disponibile. Bagno e camera puliti ogni giorno. Consigliatissimo!|Housekeeping|pos|atmosfera confortevole e personale disponibile bagno e camera puliti ogni giorno consigliatissimo
12|Atmosfera confortevole e...|Atmosfera confortevole e personale disponibile. Servizi e camera puliti ogni giorno. Consigliatissimo!|Housekeeping|pos|atmosfera confortevole e personale disponibile servizi e camera puliti ogni giorno consigliatissimo
13|Stanza in ordine...|Stanza in ordine e ben curata; ottima struttura ed ottimi servizi.|Housekeeping|pos|stanza in ordine e ben curata ottima struttura ed ottimi servizi
14|Sistemazione in ordine...|Sistemazione in ordine e ben curata; ottima struttura ed ottimi servizi.|Housekeeping|pos|sistemazione in ordine e ben curata ottima struttura ed ottimi servizi
15|Cura della stanza...|Cura della stanza perfetta. Attenzione ai dettagli e professionalità|Housekeeping|pos|cura della stanza perfetta attenzione ai dettagli e professionalità
16|Cura della stanza...|Cura della stanza perfetta. Attenzione ai dettagli e serietà.|Housekeeping|pos|cura della stanza perfetta attenzione ai dettagli e serietà
17|Camera confortevole e...|Camera confortevole e dipendenti sempre disponibili|Housekeeping|pos|camera confortevole e dipendenti sempre disponibili
18|Camera confortevole e...|Camera confortevole e dipendenti sempre gentili.|Housekeeping|pos|camera confortevole e dipendenti sempre gentili
19|Camera comoda e...|Camera comoda e dipendenti sempre disponibili|Housekeeping|pos|camera comoda e dipendenti sempre disponibili
20|Camera comoda e...|Camera comoda e dipendenti sempre gentili.|Housekeeping|pos|camera comoda e dipendenti sempre gentili
21|Massimo confort non...|Massimo confort non solo in camera ma in tutta la struttura. Atmosfera calda e rilassante.|Housekeeping|pos|massimo confort non solo in camera ma in tutta la struttura atmosfera calda e rilassante
22|Massimo confort non...|Massimo confort non solo in camera ma in tutta la struttura. Atmosfera accogliente e rilassante.|Housekeeping|pos|massimo confort non solo in camera ma in tutta la struttura atmosfera accogliente e rilassante
23|Grande confort non...|Grande confort non solo in camera ma in tutta la struttura. Atmosfera calda e rilassante.|Housekeeping|pos|grande confort non solo in camera ma in tutta la struttura atmosfera calda e rilassante
24|Grande confort non...|Grande confort non solo in camera ma in tutta la struttura. Atmosfera accogliente e rilassante.|Housekeeping|pos|grande confort non solo in camera ma in tutta la struttura atmosfera accogliente e rilassante
25|Servizio di cambio...|Servizio di cambio biancheria giornaliero Bagno e camera sempre in ordine.|Housekeeping|pos|servizio di cambio biancheria giornaliero bagno e camera sempre in ordine
26|Servizio di cambio...|Servizio di cambio biancheria quotidiano. Bagno e camera sempre in ordine.|Housekeeping|pos|servizio di cambio biancheria quotidiano bagno e camera sempre in ordine
27|Servizio di cambio...|Servizio di cambio asciugamani giornaliero Bagno e camera sempre in ordine.|Housekeeping|pos|servizio di cambio asciugamani giornaliero bagno e camera sempre in ordine
28|Servizio di cambio...|Servizio di cambio asciugamani quotidiano. Bagno e camera sempre in ordine.|Housekeeping|pos|servizio di cambio asciugamani quotidiano bagno e camera sempre in ordine
29|Ambiente pulito e...|Ambiente pulito e tranquillo, ideale per chi ha bisogno di rilassarsi|Housekeeping|pos|ambiente pulito e tranquillo ideale per chi ha bisogno di rilassarsi
30|Ambiente pulito e...|Ambiente pulito e tranquillo, ideale per chi ha bisogno di riposarsi.|Housekeeping|pos|ambiente pulito e tranquillo ideale per chi ha bisogno di riposarsi
31|Contesto pulito e...|Contesto pulito e tranquillo, ideale per chi ha bisogno di rilassarsi|Housekeeping|pos|contesto pulito e tranquillo ideale per chi ha bisogno di rilassarsi
32|Contesto pulito e...|Contesto pulito e tranquillo, ideale per chi ha bisogno di riposarsi.|Housekeeping|pos|contesto pulito e tranquillo ideale per chi ha bisogno di riposarsi
33|Sono allergica alla...|Sono allergica alla polvere e con mia grande sorpresa non ne ho trovata la minima traccia!|Housekeeping|pos|sono allergica alla polvere e con mia grande sorpresa non ne ho trovata la minima traccia
34|Sono allergica alla...|Sono allergica alla polvere e con mia grande felicità non ne ho trovata la minima traccia!|Housekeeping|pos|sono allergica alla polvere e con mia grande felicità non ne ho trovata la minima traccia
35|Bagno in camera...|Bagno in camera con doccia e vasca sempre puliti; arredi nuovi, belli e funzionali.|Housekeeping|pos|bagno in camera con doccia e vasca sempre puliti arredi nuovi belli e funzionali
36|Bagno in camera...|Bagno in camera con doccia e vasca sempre puliti; mobili nuovi, belli e funzionali.|Housekeeping|pos|bagno in camera con doccia e vasca sempre puliti mobili nuovi belli e funzionali
