id|title|body|department|sentiment
1|Camera pulita e...|Camera pulita e ordinata; personale cordiale e disponibile.|Housekeeping|pos
2|Camera pulita e...|Camera pulita e ordinata; personale gentile e disponibile.|Housekeeping|pos
3|Stanza pulita e...|Stanza pulita e ordinata; personale cordiale e disponibile.|Housekeeping|pos
4|Stanza pulita e...|Stanza pulita e ordinata; personale gentile e disponibile.|Housekeeping|pos
5|Albergo confortevole e...|Albergo confortevole e accogliente. Pulizia impeccabile e attenzione ai dettagli.|Housekeeping|pos
6|Albergo confortevole e...|Albergo confortevole e accogliente. Pulizia impeccabile e accortezza ai dettagli.|Housekeeping|pos
7|Hotel confortevole e...|Hotel confortevole e accogliente. Pulizia impeccabile e attenzione ai dettagli.|Housekeeping|pos
8|Hotel confortevole e...|Hotel confortevole e accogliente. Pulizia impeccabile e accortezza ai dettagli.|Housekeeping|pos
9|Tutto il personale...|Tutto il personale è stato cordiale e premuroso! Ottima pulizia della stanza.|Housekeeping|pos
10|Tutto il personale...|Tutto il personale è stato gentile e premuroso! Ottima pulizia della stanza.|Housekeeping|pos
11|Atmosfera confortevole e...|Atmosfera confortevole e personale disponibile. Bagno e camera puliti ogni giorno. Consigliatissimo!|Housekeeping|pos
12|Atmosfera confortevole e...|Atmosfera confortevole e personale disponibile. Servizi e camera puliti ogni giorno. Consigliatissimo!|Housekeeping|pos
13|Stanza in ordine...|Stanza in ordine e ben curata; ottima struttura ed ottimi servizi.|Housekeeping|pos
14|Sistemazione in ordine...|Sistemazione in ordine e ben curata; ottima struttura ed ottimi servizi.|Housekeeping|pos
15|Cura della stanza...|Cura della stanza perfetta. Attenzione ai dettagli e professionalità|Housekeeping|pos
16|Cura della stanza...|Cura della stanza perfetta. Attenzione ai dettagli e serietà.|Housekeeping|pos
17|Camera confortevole e...|Camera confortevole e dipendenti sempre disponibili|Housekeeping|pos
18|Camera confortevole e...|Camera confortevole e dipendenti sempre gentili.|Housekeeping|pos
19|Camera comoda e...|Camera comoda e dipendenti sempre disponibili|Housekeeping|pos
20|Camera comoda e...|Camera comoda e dipendenti sempre gentili.|Housekeeping|pos
21|Massimo confort non...|Massimo confort non solo in camera ma in tutta la struttura. Atmosfera calda e rilassante.|Housekeeping|pos
